Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index, NAV , 52 WeekHigh (NAV), 52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%), No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks
Kotak Equity Hybrid Fund(G),Atul Bhole,HY-EQ,5,6815.5,1.76,Open Ended,03-Nov-14,NIFTY 50 Hybrid Composite Debt 65:35 Index,61.89,63.32,49.87,-0.08,-3.01,3.82,21.9,21.5,15.85,18.03,13.08,68.88,60,146119,43.56,23.5,9.33,Financials,14.75,7.07,7.07,10.96,1.48,2.16,2.06,11.51,Hybrid : Equity Oriented,Nil upto 8% of investment and 1% for remaining investment on or before 1Y Nil after 1Y
Kotak Equity Opp Fund(G),Harsha Upadhyaya,EQ-L&M,3,25648.5,1.59,Open Ended,09-Sep-04,NIFTY LargeMidcap 250 - TRI,339.25,355.58,265.83,-0.28,-5.3,-0.15,24.38,27.42,20.36,21.26,15.59,25.22,68,158922,55.81,34.82,6.23,Financials,-,-,-,14.69,1.25,1.8,0.98,15.79,Equity : Large & Mid Cap,Nil upto 10% of investment and 1% for remaining investment on or before 1Y Nil after 1Y
Kotak Equity Savings Fund(G),Devender Singhal,HY-EQ,2,7973.6,1.76,Open Ended,13-Oct-14,NIFTY 50 Equity Savings Index - TRI,25.43,25.75,22.53,-0.29,-1.44,2.84,11.53,13.89,11.54,11.16,9.4,459.67,94,181850,49.95,8.87,8.53,Financials,1.78,1.2,7.26,4.99,1.25,1.83,0.84,6.02,Hybrid : Equity Oriented,Nil upto 8% of investments and 1% for remaining investments on or before 90D Nil after 90D
Kotak ESG Exclusionary Strategy Fund-Reg(G),Mandar Pawar,EQ-THEM,Unrated,940.4,2.25,Open Ended,11-Dec-20,NIFTY100 ESG - TRI,16.75,18.25,14.41,-2.22,-8.74,-3.01,12.65,17.14,10.81,-,-,14.62,42,259522,83.85,12.05,3.26,Financials,-,-,-,4.21,0.64,0.97,0.95,14.13,Equity : Thematic,0.50% on or before 90D Nil after 90D
Kotak Flexicap Fund(G),Harsha Upadhyaya,EQ-FLEX,2,51275.7,1.47,Open Ended,11-Sep-09,NIFTY 500 - TRI,80.82,85.84,67.16,-1.29,-6.1,-2.36,16.81,20.85,15.5,16.42,13.64,17.26,59,231993,70.39,22.51,5.47,Financials,-,-,-,7.84,0.83,1.2,1.02,15.61,Equity : Flexi Cap,Nil upto 10% of investment and 1% for remaining investment on or before 1Y Nil after 1Y
Kotak Floating Rate Fund-Reg(G),Deepak Agrawal,DT-FL,4,3772.4,0.63,Open Ended,14-May-19,NIFTY Ultra Short Duration Debt Index,1445.52,1445.9,1336.92,0.58,1.85,4.24,8.17,7.71,6.27,6.82,-,0,-,-,-,-,-,-,5.93,1.57,7.85,3.88,8.12,18.43,0.08,0.51,Debt : Floater,Nil
Kotak FMP-292-1735D(G),Deepak Agrawal,DT-FMP,Unrated,441.8,-,Closed Ended,13-Aug-21,CRISIL Composite Bond Index,12.05,12.05,11.18,0.55,1.55,3.79,7.75,7.35,5.63,-,-,-,-,-,-,-,-,-,-,-,-,3.18,5.9,14.68,0.16,0.62,Debt : FTP/FMP,null
Kotak FMP-292-1735D(IDCW),Deepak Agrawal,DT-FMP,Unrated,441.8,-,Closed Ended,13-Aug-21,NIFTY Medium to Long Duration Debt Index,12.05,12.05,11.18,0.55,1.55,3.79,7.75,7.35,5.63,-,-,-,-,-,-,-,-,-,-,-,-,3.18,5.9,14.68,0.16,0.62,Debt : FTP/FMP,null
Kotak FMP-300-1223D(G),Deepak Agrawal,DT-FMP,Unrated,240.1,-,Closed Ended,09-Dec-22,NIFTY Medium Duration Debt Index,11.55,11.55,10.72,0.65,1.63,3.89,7.75,7.32,-,-,-,-,-,-,-,-,-,-,-,-,-,2.97,5.38,11.79,0.23,0.68,Debt : FTP/FMP,null
Kotak FMP-304-3119D(G),Deepak Agrawal,DT-FMP,Unrated,109.4,-,Closed Ended,30-Dec-22,NIFTY Long Duration Debt Index,11.88,11.89,10.78,0.54,1.11,5.01,10.04,8.96,-,-,-,-,-,-,-,-,-,-,-,-,-,2.65,2.78,5.13,1.03,2.05,Debt : FTP/FMP,null
Kotak FMP-305-1200D(G),Deepak Agrawal,DT-FMP,Unrated,33.6,-,Closed Ended,19-Jan-23,NIFTY Medium Duration Debt Index,11.49,11.49,10.68,0.65,1.61,3.82,7.64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.9,5.38,11.65,0.22,0.66,Debt : FTP/FMP,null
Kotak FMP-308-1125D(G),Deepak Agarwal,DT-FMP,Unrated,93.4,-,Closed Ended,29-Mar-23,NIFTY Medium Duration Debt Index,11.43,11.43,10.56,0.65,1.98,4.3,8.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.73,8.76,17.07,0.14,0.47,Debt : FTP/FMP,null
Kotak FMP-310-1131D(G),Deepak Agrawal,DT-FMP,Unrated,124.9,-,Closed Ended,27-Mar-23,NIFTY Medium Duration Debt Index,11.32,11.32,10.52,0.63,1.59,3.81,7.59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.82,5.18,11.27,0.23,0.68,Debt : FTP/FMP,null
Kotak Focused Equity Fund-Reg(G),Shibani Kurian,EQ-MLC,Unrated,3558.4,1.89,Open Ended,16-Jul-19,NIFTY 500 - TRI,24.35,26.41,20.36,-1.91,-7.54,-1.38,16.84,20.48,13.87,17.2,-,38.98,29,247971,78.82,11.72,6.93,Financials,-,-,-,8.04,0.89,1.32,0.97,14.57,Equity : Multi Cap,Nil upto 10% of investment and 1% for remaining investment on or before 1Y Nil after 1Y
Kotak Gilt Fund-PF&Trust(G),Abhishek Bisen,DT-GILT,3,4398.4,1.48,Open Ended,11-Nov-03,Nifty All Duration G-Sec Index,95.2,95.63,87.85,0.27,-0.29,3.57,8.22,7.66,5.89,6.5,7.22,0,-,-,-,-,-,-,26.86,10.79,7.09,-0.15,1.49,2.42,1.4,2.7,Debt : Gilt,Nil
Kotak Gilt Fund-Reg(G),Abhishek Bisen,DT-GILT,3,4398.4,1.48,Open Ended,29-Dec-98,Nifty All Duration G-Sec Index,93.06,93.47,85.87,0.27,-0.29,3.57,8.21,7.66,5.89,6.5,7.21,0,-,-,-,-,-,-,26.86,10.79,7.09,-0.15,1.49,2.41,1.4,2.7,Debt : Gilt,Nil
Kotak Global Emerging Mkt Fund(G),Arjun Khanna,FOF-OVR,Unrated,87.9,1.62,Open Ended,26-Sep-07,MSCI Emerging Market Index,22.12,24.41,20.1,-1.05,-6.97,-1.28,5.87,8.27,-0.09,5.08,5.04,3.39,-,-,-,-,-,-,-,-,-,-0.96,0.22,0.36,1.18,12.32,FoFs : Overseas,Nil upto 10% of units and 1% for remaining units on or before 1Y Nil after 1Y
Kotak Global Innovation FoF-Reg(G),Arjun Khanna,FOF-OVR,Unrated,629.6,1.58,Open Ended,29-Jul-21,MSCI AC World Index,10.44,11.01,8.46,-2.86,2.6,8.43,19.55,25.28,2.94,-,-,-,-,-,-,-,-,-,-,-,-,15.32,1.04,1.69,0.41,15.9,FoFs : Overseas,1% on or before 1Y Nil after 1Y
Kotak Gold ETF,Abhishek Bisen,GOLD-ETF,Unrated,5176.8,0.55,Open Ended,27-Jul-07,Gold-India,64.65,67.25,52.34,-0.16,1.29,6.31,19.89,16.39,15.63,13.29,9.83,17.7,1,-,-,-,-,-,-,-,-,16.1,1.23,1.85,-0.05,12.93,Gold : ETFs,Nil
Kotak Gold Fund(G),Abhishek Bisen,GOLD-MF,Unrated,2250.5,0.5,Open Ended,25-Mar-11,Gold-India,30.07,31.12,24.29,0.42,1.12,6.03,19.52,16.43,15.09,12.97,9.72,1.3,1,-,-,-,-,-,-,-,-,13.61,1.17,1.88,0.49,12.89,Gold : MFs,1% on or before 15D Nil after 15D
Kotak Healthcare Fund-Reg(G),Shibani Kurian,EQ-PHRM,Unrated,418.7,2.39,Open Ended,11-Dec-23,Nifty Healthcare Index - TRI,14.42,14.42,10.33,3.98,3.05,23.68,39.94,-,-,-,-,38.52,28,57602,37.19,29.01,32.94,Healthcare,-,-,-,28.95,2.35,4.18,0.46,13.34,Equity : Sectoral - Pharma,0.50% on or before 30D Nil after 30D
Kotak Income Plus Arbitrage FOF-Reg(G),Abhishek Bisen,FOF-DOM,Unrated,85.6,0.3,Open Ended,17-Nov-22,NIFTY Composite Debt Index,11.82,11.82,10.85,0.6,0.47,4.28,8.99,8.32,-,-,-,-,-,-,-,-,-,-,-,-,6.46,2.17,2.16,3.28,0.92,2.28,FoFs : Domestic,Nil
Kotak India EQ Contra Fund(G),Shibani Kurian,EQ-VAL,2,4034.3,1.87,Open Ended,27-Jul-05,NIFTY 500 - TRI,148.69,158.68,119.39,-1.35,-6.74,-0.53,22.2,29.12,21.62,21.67,15.47,42.77,66,143140,59.94,14.85,22.02,Financials,-,-,-,13.03,1.16,1.68,1,15.67,Equity : Value / Contra,1% on or before 90D Nil after 90D
Kotak Infra & Eco Reform Fund(G),Nalin Rasik Bhatt,EQ-INFRA,3,2395.3,1.98,Open Ended,25-Feb-08,Nifty Infrastructure - TRI,68.56,72.77,51.21,0.67,-6.28,-3.94,32.53,34.88,28.41,27.56,16.28,23.09,53,45623,32.88,21.4,44.91,Automobile and Ancillaries,-,-,-,21.6,1.45,2.05,1,18.42,Equity : Sectoral - Infrastructure,0.50% on or before 90D Nil after 90D
Kotak International REIT FOF-Reg(G),Arjun Khanna,FOF-OVR,Unrated,54.2,1.39,Open Ended,29-Dec-20,S&P Asia Pacific ex Japan REIT - TRI,9.37,10.76,8.73,-4.62,-12.87,5.48,-3.7,0.53,-3.39,-,-,4.58,-,-,-,-,-,-,-,-,-,-13.05,-0.4,-0.69,2.03,17.55,FoFs : Overseas,Nil upto 8% of units and 1% for remaining units on or before 1Y Nil after 1Y
Kotak Liquid Fund-Reg(G),Deepak Agrawal,DT-LIQ,4,34539.1,0.31,Open Ended,04-Nov-03,Nifty Liquid Fund Index,5102.19,5102.19,4756.07,0.58,1.72,3.52,7.3,7.12,6.33,5.25,6.26,0,-,-,-,-,-,-,0.15,0.15,7.23,1.31,9.15,10.97,-,0.14,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
Kotak Long Duration Fund-Reg(G),Abhishek Bisen,DT-LD,Unrated,178.4,0.62,Open Ended,11-Mar-24,NIFTY Long Duration Debt Index,10.65,10.69,9.89,0.48,-0.28,3.6,-,-,-,-,-,0,-,-,-,-,-,-,27.67,11.64,7.09,-,-,-,-,-,Debt : Long Duration,Nil
Kotak Low Duration Fund(G),Deepak Agrawal,DT-LOWD,5,12509.5,1.17,Open Ended,06-Mar-08,CRISIL Long Duration Debt Index,3218.89,3218.89,3000.02,0.59,1.77,3.6,7.32,7.01,5.96,5.83,7.02,0,-,-,-,-,-,-,1.71,0.98,7.85,3.1,9.82,18.97,0.06,0.33,Debt : Low Duration,Nil
Kotak Manufacture in India Fund-Reg(G),Harsha Upadhyaya,EQ-THEM,Unrated,2452.6,1.96,Open Ended,22-Feb-22,Nifty India Manufacturing - TRI,18.68,19.84,14.47,1.22,-6.41,-2.11,26.52,29.62,-,-,-,27.35,59,90657,55.55,26.35,15.08,Automobile and Ancillaries,-,-,-,16.53,1.3,1.9,0.96,16.43,Equity : Thematic,0.50% on or before 90D Nil after 90D
Kotak Medium Term Fund(G),Deepak Agrawal,DT-MD,3,1828.1,1.63,Open Ended,21-Mar-14,CRISIL Medium Duration Debt Index,21.71,21.71,19.92,0.25,1.18,4.34,8.97,7.55,6.09,6.22,7.04,0,1,-,-,-,-,-,4.97,3.35,8.24,3.53,3.92,7.12,0.45,1.25,Debt : Medium Duration,Nil
Kotak MNC Fund-Reg(G),Harsha Upadhyaya,EQ-MNC,Unrated,2410,1.96,Open Ended,28-Oct-24,NIFTY MNC - TRI,10.26,10.36,9.87,-0.6,-,-,-,-,-,-,-,-,38,106531,49.09,19.26,17.27,FMCG,-,-,-,-,-,-,-,-,Equity : Thematic - MNC,0.50% on or before 90D Nil after 90D
Kotak Money Market Fund(G),Deepak Agrawal,DT-MM,3,29774.4,0.35,Open Ended,14-Jul-03,CRISIL Money Market Index,4320.56,4320.56,4013.51,0.62,1.78,3.67,7.67,7.49,6.62,5.83,6.76,0,-,-,-,-,-,-,0.46,0.46,7.51,3.53,10.98,23,0.03,0.33,Debt : Money Market,Nil
Kotak Multi Asset Allocation Fund-Reg(G),Devender Singhal,HY-MULTI,Unrated,7652.9,1.73,Open Ended,22-Sep-23,NIFTY 500 - TRI,12.9,13.41,10.8,-1.03,-4.28,0.77,16.01,-,-,-,-,174.89,72,149604,47.58,9.04,12.26,Financials,5.19,3.2,7.04,7.96,1.16,1.7,1.38,10.35,Hybrid : Multi Asset Allocation,Nil upto 30% of investment and 1% for remaining investment on or before 1Y Nil after 1Y
Kotak Multi Asset Allocator FoF-Dynamic(G),Devender Singhal,FOF-DOM,Unrated,1614.5,1.01,Open Ended,09-Aug-04,NIFTY 50 Hybrid Composite Debt 50:50 Index,222.15,227.7,185.13,0.03,-2.17,2.73,19.2,21.25,17.87,20.63,14.38,41.29,-,-,-,-,-,-,-,-,-,8.79,1.62,2.39,1.88,8.85,FoFs : Domestic,Nil upto 8% of units and 1% for remaining units on or before 1Y Nil after 1Y
Kotak Multicap Fund-Reg(G),Devender Singhal,EQ-MLC,Unrated,15816.5,1.65,Open Ended,29-Sep-21,Nifty500 Multicap 50:25:25 - TRI,19.31,20.18,15.01,-0.07,-5.43,2.67,26.54,34.04,25.69,-,-,57.13,62,74545,43.05,24.34,28.81,Financials,-,-,-,17.21,1.31,1.93,0.98,16.87,Equity : Multi Cap,Nil upto 10% of investment and 1% for remaining investments on or before 1Y Nil after 1Y
Kotak NASDAQ 100 FoF-Reg(G),Arjun Khanna,FOF-OVR,Unrated,3339.6,0.67,Open Ended,02-Feb-21,Nasdaq-100 - TRI,18.13,18.75,13.68,2.43,8.05,9.03,28.21,42.01,13.48,-,-,1.15,-,-,-,-,-,-,-,-,-,23.49,1.46,2.35,0.96,18.22,FoFs : Overseas,Nil
Kotak Nifty 100 Equal Weight Index Fund-Reg(G),Devender Singhal,EQ-INDX,Unrated,-,0.72,Open Ended,23-Dec-24,Nifty100 Equal Weight - TRI,10.19,10.19,9.98,-,-,-,-,-,-,-,-,4.84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Equity : Index Funds,NIL
Kotak Nifty 100 Low Volatility 30 ETF,Devender Singhal,EQ-ETF,Unrated,152.1,0.09,Open Ended,23-Mar-22,Nifty100 Low Volatility 30 - TRI,20.25,22.36,17.38,-0.46,-9.99,0.75,12.4,22.77,-,-,-,52.05,30,322998,96.54,3.45,-,FMCG,-,-,-,5.27,0.74,1.29,0.7,11.46,Equity : ETFs,null
Kotak NIFTY 100 Low Volatility 30 Index Fund-Reg(G),Devender Singhal,EQ-INDX,Unrated,80.7,0.95,Open Ended,07-Jun-24,Nifty100 Low Volatility 30 - TRI,10.44,11.56,9.98,-0.56,-10.24,0.03,-,-,-,-,-,33.1,30,323015,96.68,3.45,-,FMCG,-,-,-,-,-,-,-,-,Equity : Index Funds,Nil
Kotak Nifty 1D Rate Liquid ETF,Abhishek Bisen,DT-LIQ,Unrated,855.8,0.19,Open Ended,24-Jan-23,Nifty 1D Rate Index,1027.45,1027.45,1000,0.54,1.6,3.2,6.49,-,-,-,-,0,-,-,-,-,-,-,-,-,6.73,0.71,6.32,8.37,-,0.11,Debt : Liquid,null
Kotak Nifty 200 Momentum 30 Index Fund-Reg(G),Devender Singhal,EQ-INDX,Unrated,394.7,0.79,Open Ended,15-Jun-23,Nifty200 Momentum 30 - TRI,15.79,17.99,12.91,-4.01,-12.9,-7.67,20.4,-,-,-,-,154.28,30,199220,87.07,12.91,-,Automobile and Ancillaries,-,-,-,11.31,0.8,1.17,1.24,22.01,Equity : Index Funds,Nil
Kotak Nifty 50 Equal Weight Index Fund-Reg(G),Devender Singhal,EQ-INDX,Unrated,-,0.72,Open Ended,23-Dec-24,NIFTY50 Equal Weight - TRI,10.24,10.24,9.98,-,-,-,-,-,-,-,-,5.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Equity : Index Funds,NIL
Kotak Nifty 50 ETF,Devender Singhal,EQ-ETF,Unrated,2582.1,0.04,Open Ended,02-Feb-10,NIFTY 50 - TRI,263.05,284.68,228.54,-1.61,-7.82,-1.24,10.41,16.42,12.85,15.6,12.3,32.96,50,555827,98.69,1.25,-,Financials,-,-,-,2.34,0.5,0.77,0.99,13.94,Equity : ETFs,Nil
Kotak Nifty 50 Index Fund-Reg(G),Devender Singhal,EQ-INDX,Unrated,772.4,0.37,Open Ended,21-Jun-21,NIFTY 50 - TRI,15.59,16.93,13.65,-1.67,-7.93,-1.48,9.74,15.66,12.21,-,-,21.04,50,555827,98.76,1.25,-,Financials,2.83,-,-,1.34,0.46,0.7,0.99,13.98,Equity : Index Funds,Nil
Kotak Nifty 50 Value 20 ETF,Devender Singhal,EQ-ETF,Unrated,114.2,0.14,Open Ended,02-Dec-15,Nifty50 Value 20 - TRI,156.85,166.61,129.12,-1.85,-6.83,2.98,17.2,24.17,16.34,21.73,-,28.66,20,515689,98.26,1.63,-,Technology,-,-,-,9.12,0.94,1.54,0.94,14.36,Equity : ETFs,null
Kotak Nifty AAA Bond Jun 2025 HTM Index Fund-Reg(G),Abhishek Bisen,DT-SD,Unrated,20.1,0.3,Open Ended,28-Mar-24,Nifty AAA Bond Jun 2025 HTM Index,10.57,10.57,10,0.63,1.8,3.63,-,-,-,-,-,0,-,-,-,-,-,-,0.37,0.34,7.55,-,-,-,-,-,Debt : Short Duration,Nil
Kotak Nifty Alpha 50 ETF,Devender Singhal,EQ-ETF,Unrated,439.2,0.3,Open Ended,22-Dec-21,Nifty Alpha 50 - TRI,54.98,59.25,40.98,0.98,-6.11,0.29,33.08,38.18,16.75,-,-,170.86,50,76519,30.25,53.87,15.85,Financials,-,-,-,22.6,1.17,1.7,1.21,24.16,Equity : ETFs,null
Kotak Nifty Bank ETF,Devender Singhal,EQ-ETF,Unrated,5327.5,0.15,Open Ended,04-Dec-14,NIFTY BANK - TRI,530.39,559.21,458,-1.94,-3.57,-2.72,6.57,9.99,13.94,9.77,10.83,45.41,12,538946,86.41,13.57,-,Financials,-,-,-,-1.31,0.22,0.32,1.08,17.46,Equity : ETFs,Nil
Kotak Nifty Financial Services Ex-Bank Index Fund-Reg(G),Devender Singhal,EQ-INDX,Unrated,39,0.74,Open Ended,14-Aug-23,Nifty Financial Services Ex-Bank - TRI,13.52,14.6,11.23,-0.11,-9.42,1.58,13.47,-,-,-,-,33.58,30,126944,67.15,27.16,5.51,Financials,-,-,-,5.44,0.56,0.83,1.11,19.81,Equity : Index Funds,Nil
Kotak Nifty G-Sec July 2033 Index Fund-Reg(G),Abhishek Bisen,DT-LD,Unrated,18.6,0.39,Open Ended,11-Oct-23,Nifty G-Sec July 2033 Index,11.18,11.18,10.23,0.46,1,4.64,9.07,-,-,-,-,0,-,-,-,-,-,-,7.54,5.54,6.92,1.81,2.63,4.76,0.98,1.8,Debt : Long Duration,Nil
Kotak NIFTY India Consumption ETF,Devender Singhal,EQ-ETF,Unrated,5.7,0.1,Open Ended,28-Jul-22,Nifty India Consumption - TRI,118.6,132.25,95.41,-0.16,-10.7,2.51,20.6,25.26,-,-,-,60.7,30,277659,92.14,7.83,-,FMCG,-,-,-,12.07,1.19,2.19,0.74,13.02,Equity : ETFs,null
Kotak Nifty India Tourism Index Fund-Reg(G),Devender Singhal,EQ-INDX,Unrated,23,0.96,Open Ended,23-Sep-24,Nifty India Tourism Index - TRI,10.02,10.02,8.62,6.29,2.53,-,-,-,-,-,-,13.65,15,62527,19.57,59.21,23.23,Travel,-,-,-,-,-,-,-,-,Equity : Index Funds,Nil
Kotak Nifty IT ETF,Devender Singhal,EQ-ETF,Unrated,199.9,0.09,Open Ended,02-Mar-21,NIFTY IT - TRI,47.39,49.15,34.32,0.52,2.76,18.39,23.62,26.26,6.56,-,-,92.63,10,429485,83.84,16.15,-,Technology,-,-,-,16.43,1.02,1.87,0.74,19.49,Equity : ETFs,null
Kotak NIFTY Midcap 150 Momentum 50 Index Fund-Reg(G),Devender Singhal,EQ-INDX,Unrated,57.6,0.93,Open Ended,08-Oct-24,Nifty Midcap150 Momentum 50 - TRI,9.88,10.31,9.25,1.14,-,-,-,-,-,-,-,57.1,50,76843,19.35,80.1,-,Financials,-,-,6.29,-,-,-,-,-,Equity : Index Funds,NIL
Kotak Nifty Midcap 50 ETF,Devender Singhal,EQ-ETF,Unrated,46.7,0.05,Open Ended,28-Jan-22,Nifty Midcap 50 - TRI,164.85,172.46,131.35,2.25,-5.28,1.5,21.86,36.19,-,-,-,108.07,51,70951,9.83,90.05,-,Financials,-,-,-,13.56,0.97,1.44,1.06,19.15,Equity : ETFs,null
Kotak NIFTY Midcap 50 Index Fund-Reg(G),Devender Singhal,EQ-INDX,Unrated,46.1,0.88,Open Ended,16-Aug-24,Nifty Midcap 50 - TRI,9.96,10.45,9.19,2.16,-5.52,-,-,-,-,-,-,31.91,51,70953,9.83,90,-,Financials,-,-,-,-,-,-,-,-,Equity : Index Funds,NIL
Kotak NIFTY MNC ETF,Devender Singhal,EQ-ETF,Unrated,31.6,0.3,Open Ended,05-Aug-22,NIFTY MNC - TRI,29,33.17,23.77,-2.47,-13.99,-7.82,16.52,21.14,-,-,-,35.72,30,132495,69.09,22.62,8.24,FMCG,-,-,-,9.17,0.9,1.47,0.77,14.12,Equity : ETFs,null
Kotak Nifty Next 50 Index Fund-Reg(G),Devender Singhal,EQ-INDX,Unrated,372.3,0.6,Open Ended,10-Mar-21,NIFTY NEXT 50 - TRI,19.66,22.1,15.16,-3.31,-11.51,-5.31,27.73,27.63,17.95,-,-,69.46,50,143043,88.11,11.74,-,Financials,-,-,-,17.31,1.14,1.66,1.14,20.19,Equity : Index Funds,Nil
Kotak Nifty PSU Bank ETF,Devender Singhal,EQ-ETF,Unrated,1434.3,0.49,Open Ended,08-Nov-07,NIFTY PSU BANK - TRI,657.88,798.86,563.65,-3.97,-3.31,-10.64,13.98,23.39,38.46,20.87,4.42,69.73,12,188009,62.22,37.78,-,Financials,-,-,-,7.64,0.49,0.71,1.48,30.03,Equity : ETFs,NIL
Kotak Nifty SDL Apr 2027 Top 12 Equal Weight Index Fund-Reg(G),Abhishek Bisen,DT-M&LD,Unrated,7938,0.35,Open Ended,11-Feb-22,Nifty SDL Apr 2027 Top 12 Equal Weight Index,11.75,11.75,10.86,0.57,1.51,3.91,8.27,7.51,-,-,-,0,-,-,-,-,-,-,2.11,1.88,7.08,3.33,5.36,12.45,0.24,0.76,Debt : Medium to Long Duration,0.15% on or before 30D Nil after 30D
Kotak Nifty SDL Apr 2032 Top 12 Equal Weight Index Fund-Reg(G),Abhishek Bisen,DT-LD,Unrated,2904.4,0.36,Open Ended,11-Feb-22,Nifty SDL Apr 2032 Top 12 Equal Weight Index,12.16,12.16,10.97,0.71,1.64,4.78,10.12,8.63,-,-,-,0,-,-,-,-,-,-,7,5.23,7.24,3.55,2.99,6.1,0.73,1.92,Debt : Long Duration,Nil
Kotak Nifty SDL Jul 2026 Index Fund-Reg(G),Abhishek Bisen,DT-M&LD,Unrated,121.2,0.41,Open Ended,22-Dec-22,Nifty SDL Jul 2026 Index,11.52,11.52,10.69,0.54,1.5,3.75,7.79,7.24,-,-,-,0,-,-,-,-,-,-,1.41,1.28,7.07,3.18,5.96,14.28,0.17,0.62,Debt : Medium to Long Duration,Nil
Kotak Nifty SDL Jul 2033 Index Fund-Reg(G),Abhishek Bisen,DT-LD,Unrated,206.1,0.45,Open Ended,15-Feb-23,Nifty SDL Jul 2033 Index,11.78,11.78,10.59,1.03,1.59,4.94,10.7,-,-,-,-,0,-,-,-,-,-,-,7.89,5.72,7.25,4.01,3.21,6.87,0.71,1.91,Debt : Long Duration,Nil
Kotak Nifty SDL Plus AAA PSU Bond Jul 2028 60:40 Index Fund-Reg(G),Abhishek Bisen,DT-M&LD,Unrated,588.3,0.4,Open Ended,13-Oct-22,Nifty SDL Plus AAA PSU Bond Jul 2028 60:40 Index,11.79,11.79,10.89,0.44,1.43,4.07,8.17,7.48,-,-,-,0,-,-,-,-,-,-,3.09,2.6,7.25,2.95,4.15,8.74,0.36,0.97,Debt : Medium to Long Duration,Nil
Kotak Nifty Smallcap 50 Index Fund-Reg(G),Devender Singhal,EQ-INDX,Unrated,113,0.89,Open Ended,10-Apr-23,Nifty Smallcap 50 - TRI,20.93,21.87,15.4,0.17,-3.11,3.15,24.41,-,-,-,-,78.28,50,24440,-,15.06,84.81,Financials,0.01,0.01,6.78,15.75,1,1.46,1.04,21.11,Equity : Index Funds,Nil
Kotak Overnight Fund-Reg(G),Deepak Agrawal,DT-ON,3,5739.2,0.16,Open Ended,15-Jan-19,Nifty 1D Rate Index,1333.92,1333.92,1251.23,0.55,1.61,3.24,6.63,6.6,5.93,4.82,-,0,-,-,-,-,-,-,-,-,6.79,0.83,7.11,9.75,-,0.12,Debt : Overnight,Nil
Kotak Pioneer Fund-Reg(G),Harish Bihani,EQ-THEM,Unrated,2693.6,1.88,Open Ended,25-Oct-19,NIFTY 500 - TRI,30.3,31.83,23.25,1.19,-3.6,3.5,29.09,32.71,17.35,23.95,-,31.86,47,97669,36.59,28.75,16.56,Automobile and Ancillaries,-,-,-,19.18,1.86,2.99,0.72,12.3,Equity : Thematic,0.50% on or before 90D Nil after 90D
Kotak Quant Fund-Reg(G),Harsha Upadhyaya,EQ-THEM,Unrated,847.4,1.41,Open Ended,02-Aug-23,NIFTY 200 - TRI,14.98,16.64,12.45,-0.55,-11.06,-4.79,18.67,-,-,-,-,185.99,48,114823,55.11,35.96,5.65,Financials,-,-,-,10,0.83,1.2,1.06,18.6,Equity : Thematic,0.50% on or before 90D Nil after 90D
Kotak Savings Fund(G),Deepak Agrawal,DT-USD,3,13449.5,0.82,Open Ended,13-Aug-04,NIFTY Ultra Short Duration Debt Index,41.36,41.36,38.59,0.6,1.69,3.47,7.2,7.01,6.16,5.49,6.61,0,-,-,-,-,-,-,0.46,0.44,7.45,3.07,10.51,20.93,0.03,0.3,Debt : Ultra Short Duration,Nil
Kotak Silver ETF,Jeetu Valechha Sonar,GOLD-ETF,Unrated,764.7,0.45,Open Ended,12-Dec-22,Silver,85.88,97.19,68.65,-3.79,-4.51,-2.12,15.96,10.33,-,-,-,7.88,-,-,-,-,-,-,-,-,-,13.1,0.63,1.08,0.54,23.42,Gold : ETFs,null
Kotak Silver ETF FoF-Reg(G),Jeetu Valechha Sonar,GOLD-MF,Unrated,55,0.6,Open Ended,31-Mar-23,Silver,11.8,13.33,9.55,-3.55,-4.26,-2.09,14.78,-,-,-,-,46.65,-,-,-,-,-,-,-,-,-,11.01,0.57,0.99,0.73,23.11,Gold : MFs,0.5% on or before 30D Nil after 30D
